101	Q0	7:85-93	0	14.236550244547578	BM25
101	Q0	29:36-37	1	13.002848142501898	BM25
101	Q0	11:89-95	2	12.651978814311978	BM25
101	Q0	11:84-88	3	11.658893301315667	BM25
101	Q0	26:176-191	4	6.0806670838816155	BM25
101	Q0	7:59-64	5	4.09617260186472	BM25
101	Q0	20:83-85	6	4.0258908839068726	BM25
101	Q0	21:76-77	7	3.93314725121129	BM25
101	Q0	71:1-4	8	3.8798986622119083	BM25
101	Q0	61:5-5	9	3.87365616303018	BM25
101	Q0	11:25-31	10	3.8568982597359605	BM25
101	Q0	7:137-137	11	3.844580430695036	BM25
101	Q0	50:12-15	12	3.7599144751117226	BM25
101	Q0	22:42-46	13	3.747427588745982	BM25
101	Q0	5:20-26	14	3.69436545792586	BM25
101	Q0	10:79-86	15	3.647956146637808	BM25
101	Q0	4:90-91	16	3.623703757663615	BM25
101	Q0	46:29-32	17	3.6066927041446735	BM25
101	Q0	43:46-56	18	3.584139328930736	BM25
101	Q0	7:138-140	19	3.5761536956713083	BM25
101	Q0	38:12-16	20	3.5761536956713083	BM25
101	Q0	40:28-33	21	3.5346713056757677	BM25
101	Q0	7:150-153	22	3.5239781867026747	BM25
101	Q0	46:21-25	23	3.5078884709483265	BM25
101	Q0	23:23-30	24	3.4984572217660204	BM25
101	Q0	6:132-135	25	3.478993054744216	BM25
101	Q0	23:45-50	26	3.478993054744216	BM25
101	Q0	7:80-84	27	3.409518070753478	BM25
101	Q0	27:54-58	28	3.409518070753478	BM25
101	Q0	7:65-72	29	3.405417674752085	BM25
101	Q0	6:74-79	30	3.3992469306307784	BM25
101	Q0	11:49-49	31	3.395094156990604	BM25
101	Q0	11:50-60	32	3.3467592950771428	BM25
101	Q0	7:175-178	33	3.342763569713593	BM25
101	Q0	27:45-53	34	3.340134870931753	BM25
101	Q0	20:86-94	35	3.3388220713082393	BM25
101	Q0	13:8-11	36	3.32108918185359	BM25
101	Q0	9:69-70	37	3.2996940555493244	BM25
101	Q0	4:104-104	38	3.26523339540815	BM25
101	Q0	10:74-78	39	3.2371312975070956	BM25
101	Q0	32:1-3	40	3.224126288515639	BM25
101	Q0	45:14-15	41	3.224126288515639	BM25
